case_base,seed,scheduler,avg_relative_fct_vs_dynamic
n40_mix3L2M1S,48,ocs_eps_preset_greedy,1.487
n40_mix3L2M1S,48,ocs_eps_preset_dynamic_greedy,1.000
n40_mix3L2M1S,48,pure_ocs_3hop_preset,1.098
n40_mix3L2M1S,48,pure_ocs_pruned,1.098
n40_mix3L2M1S,48,ocs_eps_pruned,0.891
n40_mix3L2M1S,49,ocs_eps_global_ksp,1.493
n40_mix3L2M1S,49,pure_ocs_ksp,1.186
n40_mix3L2M1S,49,eps_ecmp,0.654
n40_mix3L2M1S,49,ocs_eps_large_small,1.319
n40_mix3L2M1S,49,pure_ocs_ksp_greedy,1.093
n40_mix3L2M1S,49,ocs_eps_preset_greedy,1.992
n40_mix3L2M1S,49,ocs_eps_preset_dynamic_greedy,1.000
n40_mix3L2M1S,49,pure_ocs_3hop_preset,1.057
n40_mix3L2M1S,49,pure_ocs_pruned,1.057
n40_mix3L2M1S,49,ocs_eps_pruned,1.254
n40_mix3L2M1S,50,ocs_eps_global_ksp,1.691
n40_mix3L2M1S,50,pure_ocs_ksp,1.336
n40_mix3L2M1S,50,eps_ecmp,0.573
n40_mix3L2M1S,50,ocs_eps_large_small,9.076
n40_mix3L2M1S,50,pure_ocs_ksp_greedy,1.126
n40_mix3L2M1S,50,ocs_eps_preset_greedy,3.211
n40_mix3L2M1S,50,ocs_eps_preset_dynamic_greedy,1.000
n40_mix3L2M1S,50,pure_ocs_3hop_preset,1.025
n40_mix3L2M1S,50,pure_ocs_pruned,1.025
n40_mix3L2M1S,50,ocs_eps_pruned,0.895
n40_mix3L2M1S,51,ocs_eps_global_ksp,1.883
n40_mix3L2M1S,51,pure_ocs_ksp,1.277
n40_mix3L2M1S,51,eps_ecmp,0.593
n40_mix3L2M1S,51,ocs_eps_large_small,1.968
n40_mix3L2M1S,51,pure_ocs_ksp_greedy,1.196
n40_mix3L2M1S,51,ocs_eps_preset_greedy,12.119
n40_mix3L2M1S,51,ocs_eps_preset_dynamic_greedy,1.000
n40_mix3L2M1S,51,pure_ocs_3hop_preset,1.119
n40_mix3L2M1S,51,pure_ocs_pruned,1.119
n40_mix3L2M1S,51,ocs_eps_pruned,0.963
n80_mix4L3M3S,42,ocs_eps_global_ksp,1.174
n80_mix4L3M3S,42,pure_ocs_ksp,1.032
n80_mix4L3M3S,42,eps_ecmp,1.003
n80_mix4L3M3S,42,ocs_eps_large_small,1.079
n80_mix4L3M3S,42,pure_ocs_ksp_greedy,1.019
n80_mix4L3M3S,42,ocs_eps_preset_greedy,0.999
n80_mix4L3M3S,42,ocs_eps_preset_dynamic_greedy,1.000
n80_mix4L3M3S,42,pure_ocs_3hop_preset,0.999
n80_mix4L3M3S,42,pure_ocs_pruned,0.999
n80_mix4L3M3S,42,ocs_eps_pruned,0.999
n80_mix4L3M3S,43,ocs_eps_global_ksp,1.239
n80_mix4L3M3S,43,pure_ocs_ksp,1.061
n80_mix4L3M3S,43,eps_ecmp,1.000
